cycle,setting1,setting2,setting3,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,av1,av2,av3,av4,av5,av6,av7,av8,av9,av10,av11,av12,av13,av14,av15,av16,av17,av18,av19,av20,av21,sd1,sd2,sd3,sd4,sd5,sd6,sd7,sd8,sd9,sd10,sd11,sd12,sd13,sd14,sd15,sd16,sd17,sd18,sd19,sd20,sd21
104,-0.0013,0.0005,100,518.67,643.53,1594.62,1412.36,14.62,21.61,553.36,2388.18,9045.86,1.3,47.67,521.02,2388.11,8131.91,8.4457,0.03,393,2388,100,38.66,23.2528,518.67,643.038,1593.852,1411.17,14.62,21.61,553.072,2388.152,9052.838,1.3,47.668,520.874,2388.126,8130.764,8.46028,0.03,393.8,2388,100,38.722,23.25896,0,0.458770095,5.591070559,0.883883476,0,0,0.381929313,0.022803509,5.216221813,0,0.054037024,0.327536258,0.041593269,2.244477668,0.011835624,0,0.836660027,0,0,0.086139422,0.074150273
1,0.0008,-0.0004,100,518.67,642.17,1587.9,1403.12,14.62,21.61,554,2388.07,9066.64,1.3,47.1,522.08,2388,8146.09,8.403,0.03,391,2388,100,39.08,23.3594,518.67,642.17,1587.9,1403.12,14.62,21.61,554,2388.07,9066.64,1.3,47.1,522.08,2388,8146.09,8.403,0.03,391,2388,100,39.08,23.3594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0.0017,0.0001,100,518.67,642,1583.5,1394.49,14.62,21.61,554.09,2387.96,9059.99,1.3,47.17,522.26,2388.03,8144.87,8.4018,0.03,392,2388,100,38.93,23.5059,518.67,642.085,1585.7,1398.805,14.62,21.61,554.045,2388.015,9063.315,1.3,47.135,522.17,2388.015,8145.48,8.4024,0.03,391.5,2388,100,39.005,23.43265,0,0.120208153,3.111269837,6.102331522,0,0,0.06363961,0.077781746,4.702260095,0,0.049497475,0.127279221,0.021213203,0.862670273,0.000848528,0,0.707106781,0,0,0.106066017,0.103591143
3,0,-0.0002,100,518.67,642.43,1587.55,1399.37,14.62,21.61,554.49,2388.05,9068.46,1.3,47.37,522.32,2388.01,8141.34,8.4485,0.03,390,2388,100,38.82,23.3265,518.67,642.2,1586.316667,1398.993333,14.62,21.61,554.1933333,2388.026667,9065.03,1.3,47.21333333,522.22,2388.013333,8144.1,8.417766667,0.03,391,2388,100,38.94333333,23.39726667,0,0.216564078,2.445574234,4.327312484,0,0,0.260832002,0.058594653,4.458620863,0,0.140118997,0.12489996,0.015275252,2.466840084,0.026622609,0,1,0,0,0.130511813,0.095506562
4,0.0011,0.0002,100,518.67,642.79,1587.68,1403.17,14.62,21.61,553.99,2388.05,9063.2,1.3,47.26,522.6,2387.97,8146.51,8.4061,0.03,393,2388,100,39,23.4368,518.67,642.3475,1586.6575,1400.0375,14.62,21.61,554.1425,2388.0325,9064.5725,1.3,47.225,522.315,2388.0025,8144.7025,8.41485,0.03,391.5,2388,100,38.9575,23.40715,0,0.343935556,2.109950631,4.104252876,0,0,0.235990819,0.049244289,3.753677086,0,0.116761866,0.215638587,0.025,2.347102824,0.022506369,0,1.290994449,0,0,0.110264833,0.080447022
5,0.0001,0.0003,100,518.67,642.49,1579.15,1398.93,14.62,21.61,553.73,2388.02,9059.16,1.3,47.35,521.71,2387.99,8146.21,8.4659,0.03,393,2388,100,38.82,23.364,518.67,642.376,1585.156,1399.816,14.62,21.61,554.06,2388.03,9063.49,1.3,47.25,522.194,2388,8145.004,8.42506,0.03,391.8,2388,100,38.93,23.39852,0,0.304598096,3.822490026,3.58872958,0,0,0.275317998,0.043011626,4.052974217,0,0.1155422,0.328755228,0.02236068,2.141536831,0.030018711,0,1.303840481,0,0,0.113578167,0.072292302
6,0.0004,0.0002,100,518.67,642.65,1583.39,1403.43,14.62,21.61,554.83,2388.06,9060,1.3,47.15,522.07,2388.05,8138.36,8.3908,0.03,391,2388,100,38.92,23.3192,518.67,642.472,1584.254,1399.878,14.62,21.61,554.226,2388.028,9062.162,1.3,47.26,522.192,2388.01,8143.458,8.42262,0.03,391.8,2388,100,38.898,23.39048,0,0.299031771,3.534364158,3.662010377,0,0,0.434373112,0.040865633,3.845324434,0,0.100498756,0.329651331,0.031622777,3.512743942,0.032641339,0,1.303840481,0,0,0.077588659,0.079597092
7,-0.0033,0.0001,100,518.67,642.71,1582.08,1401.82,14.62,21.61,553.9,2388.09,9051.18,1.3,47.06,522.48,2388,8144.22,8.4266,0.03,392,2388,100,38.89,23.4144,518.67,642.614,1583.97,1401.344,14.62,21.61,554.188,2388.054,9060.4,1.3,47.238,522.236,2388.004,8143.328,8.42758,0.03,391.8,2388,100,38.89,23.37218,0,0.150598805,3.664744193,2.099780941,0,0,0.45696827,0.025099801,6.314855501,0,0.132174128,0.354725246,0.029664794,3.459041775,0.03050077,0,1.303840481,0,0,0.075498344,0.052246359
8,0.0023,-0.0004,100,518.67,642.37,1591.51,1403.71,14.62,21.61,553.78,2387.97,9070.06,1.3,47.25,521.91,2387.99,8143.16,8.4075,0.03,391,2388,100,38.95,23.3935,518.67,642.602,1584.762,1402.212,14.62,21.61,554.046,2388.038,9060.72,1.3,47.214,522.154,2388,8143.692,8.41938,0.03,392,2388,100,38.916,23.38558,0,0.170058813,4.863647808,1.972972377,0,0,0.449922215,0.045497253,6.843785502,0,0.11148991,0.377133928,0.03,3.289129064,0.028941959,0,1,0,0,0.067305275,0.045795218
9,-0.0042,0.0002,100,518.67,642.05,1584.67,1400.66,14.62,21.61,554.07,2388.04,9062.91,1.3,47.32,522.16,2388.02,8140.55,8.4071,0.03,392,2388,100,38.94,23.5244,518.67,642.454,1584.16,1401.71,14.62,21.61,554.062,2388.036,9060.662,1.3,47.226,522.066,2388.01,8142.5,8.41958,0.03,391.8,2388,100,38.904,23.4031,0,0.262449995,4.590806029,1.987548742,0,0,0.448854097,0.045055521,6.818696356,0,0.12054045,0.287802015,0.025495098,3.086267973,0.028830487,0,0.836660027,0,0,0.052249402,0.076651093
10,0.0023,-0.0004,100,518.67,642.36,1593.63,1404.16,14.62,21.6,553.85,2388.04,9068.35,1.3,47.47,521.96,2388.03,8146.51,8.41,0.03,392,2388,100,38.99,23.2652,518.67,642.428,1587.056,1402.756,14.62,21.608,554.086,2388.04,9062.5,1.3,47.25,522.116,2388.018,8142.56,8.4084,0.03,391.6,2388,100,38.938,23.38334,0,0.264423902,5.170800712,1.466707196,0,0.004472136,0.429453141,0.044158804,7.515593789,0,0.157638828,0.225455095,0.023874673,3.177978917,0.012708855,0,0.547722558,0,0,0.037013511,0.098788754
11,-0.0029,-0.0003,100,518.67,642.58,1586.85,1398.8,14.62,21.61,554.66,2388.03,9064.46,1.3,47.33,522.34,2388.05,8142.67,8.3771,0.03,392,2388,100,38.98,23.3489,518.67,642.414,1587.748,1401.83,14.62,21.608,554.052,2388.034,9063.392,1.3,47.286,522.17,2388.018,8143.422,8.40566,0.03,391.8,2388,100,38.95,23.38928,0,0.251256841,4.773816084,2.208687393,0,0.004472136,0.3563285,0.042778499,7.408607831,0,0.149432259,0.243310501,0.023874673,2.18260624,0.017877724,0,0.447213595,0,0,0.039370039,0.094779518
12,-0.0035,-0.0003,100,518.67,642.61,1589.01,1395.95,14.62,21.61,554.08,2388.04,9070.02,1.3,47.23,522.46,2388.01,8148.23,8.4139,0.03,392,2388,100,38.85,23.4507,518.67,642.394,1589.134,1400.656,14.62,21.608,554.088,2388.024,9067.16,1.3,47.32,522.166,2388.02,8144.224,8.40312,0.03,391.8,2388,100,38.942,23.39654,0,0.224343487,3.571369485,3.434971616,0,0.004472136,0.346078026,0.030495901,3.292347187,0,0.094339811,0.237023206,0.02236068,3.095121969,0.014795337,0,0.447213595,0,0,0.055407581,0.098501893
13,0.003,-0.0001,100,518.67,642.54,1583.57,1406.37,14.62,21.61,554.01,2387.99,9060.8,1.3,47.27,521.95,2388.04,8142.55,8.4126,0.03,394,2388,100,38.8,23.4197,518.67,642.428,1587.546,1401.188,14.62,21.608,554.134,2388.028,9065.308,1.3,47.324,522.174,2388.03,8144.102,8.40414,0.03,392.4,2388,100,38.912,23.40178,0,0.232529568,3.991325594,4.156437176,0,0.004472136,0.308107124,0.021679483,3.81602804,0,0.090994505,0.226671569,0.015811388,3.158911205,0.015338611,0,0.894427191,0,0,0.083486526,0.098995389
14,0.0007,-0.0004,100,518.67,642.44,1591.83,1396.63,14.62,21.61,554.16,2388.06,9065.31,1.3,47.26,522.18,2388.03,8143.19,8.4313,0.03,391,2388,100,38.98,23.3812,518.67,642.506,1588.978,1400.382,14.62,21.608,554.152,2388.032,9065.788,1.3,47.312,522.178,2388.032,8144.63,8.40898,0.03,392.2,2388,100,38.92,23.37314,0,0.103826779,3.985940291,4.646296375,0,0.004472136,0.306055551,0.025884358,3.582801976,0,0.095498691,0.22653918,0.014832397,2.585343304,0.019703223,0,1.095445115,0,0,0.088600226,0.071566354
15,-0.0002,-0.0004,100,518.67,641.95,1585.53,1400.18,14.62,21.61,553.82,2388.03,9069.69,1.3,47.34,522.35,2388.06,8146.39,8.3905,0.03,392,2388,100,38.85,23.4346,518.67,642.424,1587.358,1399.586,14.62,21.61,554.146,2388.03,9066.056,1.3,47.286,522.256,2388.038,8144.606,8.40508,0.03,392.2,2388,100,38.892,23.40702,0,0.272635288,3.188905768,4.15185862,0,0,0.313655862,0.025495098,3.861622716,0,0.047222876,0.198065646,0.019235384,2.56399688,0.021314831,0,1.095445115,0,0,0.082885463,0.041454758
16,0,-0.0005,100,518.67,642.19,1591.68,1400.99,14.62,21.61,554.38,2388.04,9063.71,1.3,47.52,521.62,2388.03,8138.79,8.4051,0.03,391,2388,100,39.01,23.3267,518.67,642.346,1588.324,1400.024,14.62,21.61,554.09,2388.032,9065.906,1.3,47.324,522.112,2388.034,8143.83,8.41068,0.03,392,2388,100,38.898,23.40258,0,0.272635288,3.688913119,4.163709884,0,0,0.205182845,0.025884358,3.95261053,0,0.116747591,0.335663522,0.018165902,3.652505989,0.014812225,0,1.224744871,0,0,0.091487704,0.04962053
17,0.0025,-0.0005,100,518.67,642.07,1588.87,1403.73,14.62,21.61,554.54,2388.02,9071.82,1.3,47.41,521.76,2388.04,8137.4,8.4259,0.03,392,2388,100,38.81,23.3594,518.67,642.238,1588.296,1401.58,14.62,21.61,554.182,2388.028,9066.266,1.3,47.36,521.972,2388.04,8141.664,8.41308,0.03,392,2388,100,38.89,23.38432,0,0.247729691,3.682930898,3.687044887,0,0,0.286565874,0.025884358,4.469197915,0,0.107935166,0.298110718,0.012247449,3.601746798,0.0163561,0,1.224744871,0,0,0.098234414,0.043961995
18,0,0.0003,100,518.67,642.42,1591.25,1397.63,14.62,21.61,554.09,2388.01,9068.1,1.3,47.19,522.07,2388.01,8144.2,8.4163,0.03,393,2388,100,38.86,23.4568,518.67,642.214,1589.832,1399.832,14.62,21.61,554.198,2388.032,9067.726,1.3,47.344,521.996,2388.034,8141.994,8.41382,0.03,391.8,2388,100,38.902,23.39174,0,0.214778956,2.685632142,2.817715387,0,0,0.276622486,0.019235384,3.268153913,0,0.128569048,0.300715813,0.018165902,3.774656276,0.016412556,0,0.836660027,0,0,0.087578536,0.053518576
19,0.0007,-0.0003,100,518.67,642.69,1585.85,1395.7,14.62,21.6,554.14,2388.02,9064.97,1.3,47.26,521.89,2388.01,8147.39,8.4354,0.03,392,2388,100,39.09,23.3865,518.67,642.264,1588.636,1399.646,14.62,21.608,554.194,2388.024,9067.658,1.3,47.344,521.938,2388.03,8142.834,8.41464,0.03,392,2388,100,38.924,23.3928,0,0.294754135,2.89666705,3.098617434,0,0.004472136,0.277452699,0.011401754,3.333867124,0,0.128569048,0.283848551,0.021213203,4.504179171,0.017566104,0,0.707106781,0,0,0.119916638,0.053309708
20,-0.001,0.0002,100,518.67,642.37,1587.49,1398.86,14.62,21.61,554.34,2388.08,9065.66,1.3,47.13,521.69,2388.08,8144.84,8.4135,0.03,392,2388,100,39.13,23.3214,518.67,642.348,1589.028,1399.382,14.62,21.608,554.298,2388.034,9066.852,1.3,47.302,521.806,2388.034,8142.524,8.41924,0.03,392,2388,100,38.98,23.37016,0,0.237107571,2.472876867,3.097978373,0,0.004472136,0.183902148,0.02792848,3.204429746,0,0.160530371,0.178129167,0.028809721,4.244081762,0.011694358,0,0.707106781,0,0,0.140356688,0.055126155
21,0.0006,-0.0002,100,518.67,642.28,1591.12,1398.91,14.62,21.61,554.48,2388.01,9066.81,1.3,47.26,522.13,2388.02,8140.61,8.3914,0.03,391,2388,100,39,23.3588,518.67,642.366,1588.916,1398.966,14.62,21.608,554.318,2388.028,9067.472,1.3,47.25,521.908,2388.032,8142.888,8.4165,0.03,392,2388,100,38.978,23.37658,0,0.225233212,2.331368697,2.964865933,0,0.004472136,0.1997999,0.029495762,2.705599749,0,0.104642248,0.190578068,0.029495762,3.908550882,0.016466785,0,0.707106781,0,0,0.139892816,0.05047219
22,-0.0023,0,100,518.67,642.15,1582.61,1397.73,14.62,21.61,554.3,2388.04,9060.34,1.3,47.07,521.87,2388.02,8145.95,8.3933,0.03,392,2388,100,38.9,23.2522,518.67,642.382,1587.664,1397.766,14.62,21.608,554.27,2388.032,9065.176,1.3,47.182,521.93,2388.028,8144.598,8.40998,0.03,392,2388,100,38.996,23.35514,0,0.200424549,3.6628923,1.303238274,0,0.004472136,0.157480157,0.029495762,2.953105145,0,0.082885463,0.174928557,0.029495762,2.536941071,0.018179301,0,0.707106781,0,0,0.116747591,0.075938515
23,0.0009,-0.0005,100,518.67,642.4,1589.02,1397.58,14.62,21.61,554.03,2388.06,9063.61,1.3,47.25,521.77,2388.07,8141.79,8.4247,0.03,392,2388,100,38.86,23.3984,518.67,642.378,1587.218,1397.756,14.62,21.608,554.258,2388.042,9064.278,1.3,47.194,521.87,2388.04,8144.116,8.41166,0.03,391.8,2388,100,38.996,23.34346,0,0.199674736,3.226913386,1.304733689,0,0.004472136,0.175840837,0.028635642,2.487663562,0,0.088487287,0.166132477,0.032403703,2.842055594,0.019265072,0,0.447213596,0,0,0.116747591,0.058994051
24,-0.0002,0.0002,100,518.67,642.3,1588.03,1408.87,14.62,21.61,555.07,2388,9064.8,1.3,47.25,522.15,2388.07,8148.24,8.3969,0.03,392,2388,100,39,23.4527,518.67,642.3,1587.654,1400.39,14.62,21.61,554.444,2388.038,9064.244,1.3,47.192,521.922,2388.052,8144.286,8.40396,0.03,391.8,2388,100,38.978,23.3567,0,0.09721111,3.142026416,4.780517754,0,0,0.386044039,0.033466401,2.476980016,0,0.086717934,0.209093281,0.029495762,3.100520924,0.014511995,0,0.447213596,0,0,0.104976188,0.076035584
25,-0.0045,0,100,518.67,642.06,1585.43,1401.12,14.62,21.61,554.12,2388.05,9060.62,1.3,47.28,522.41,2388.01,8145.21,8.3795,0.03,392,2388,100,38.84,23.3955,518.67,642.238,1587.242,1400.842,14.62,21.61,554.4,2388.032,9063.236,1.3,47.222,522.066,2388.038,8144.36,8.39716,0.03,391.8,2388,100,38.92,23.37152,0,0.133491573,3.299995455,4.705950488,0,0,0.412492424,0.025884358,2.765398705,0,0.085848704,0.252744931,0.029495762,3.121393919,0.016721782,0,0.447213596,0,0,0.076157731,0.074643868
26,0.0007,-0.0003,100,518.67,642.3,1588.92,1400.68,14.62,21.61,554.67,2388.1,9064.13,1.3,47.56,521.77,2388.04,8149.87,8.3807,0.03,392,2388,100,39.02,23.3911,518.67,642.242,1586.802,1401.196,14.62,21.61,554.438,2388.05,9062.7,1.3,47.282,521.994,2388.042,8146.212,8.39502,0.03,392,2388,100,38.924,23.37798,0,0.135351395,2.755389265,4.589414995,0,0,0.430081388,0.036055513,2.072377861,0,0.176266843,0.279785632,0.027748874,3.087089244,0.018257382,0,8.43E-08,0,0,0.081731267,0.074665501
27,-0.0002,-0.0001,100,518.67,642.03,1590.31,1401.05,14.62,21.61,554.24,2388.08,9066.94,1.3,47.32,521.63,2387.99,8146.69,8.4146,0.03,393,2388,100,38.94,23.3673,518.67,642.218,1588.342,1401.86,14.62,21.61,554.426,2388.058,9064.02,1.3,47.332,521.946,2388.036,8146.36,8.39928,0.03,392.2,2388,100,38.932,23.401,0,0.163462534,1.8196071,4.184931302,0,0,0.435694847,0.037682887,2.28445836,0,0.13065221,0.323542887,0.035777088,3.08912609,0.020143287,0,0.447213595,0,0,0.080746517,0.031399045
28,0.0013,-0.0005,100,518.67,642.01,1587.34,1400.39,14.62,21.61,553.03,2388.06,9063.63,1.3,47.28,521.63,2388,8145.09,8.4249,0.03,393,2388,100,38.91,23.3878,518.67,642.14,1588.006,1402.422,14.62,21.61,554.226,2388.058,9064.024,1.3,47.338,521.918,2388.022,8147.02,8.39932,0.03,392.4,2388,100,38.942,23.39888,0,0.14713939,1.818221659,3.616554991,0,0,0.766700724,0.037682887,2.283578332,0,0.126570139,0.347735532,0.032710854,2.044553741,0.020206484,0,0.547722558,0,0,0.072249567,0.031971112
29,0.0001,0.0002,100,518.67,642.74,1587.78,1397.77,14.62,21.61,554.34,2388.01,9066.63,1.3,47.18,522.52,2388.07,8141.6,8.4287,0.03,392,2388,100,39.16,23.3126,518.67,642.228,1587.956,1400.202,14.62,21.61,554.08,2388.06,9064.39,1.3,47.324,521.992,2388.022,8145.692,8.40568,0.03,392.4,2388,100,38.974,23.37086,0,0.309143979,1.820832227,1.391067935,0,0,0.621570591,0.03391165,2.567985592,0,0.141703917,0.437287091,0.032710854,2.991273976,0.023918027,0,0.547722558,0,0,0.12239281,0.034317095
30,-0.0022,0.0004,100,518.67,642.6,1585.12,1403.37,14.62,21.61,553.54,2388,9052.18,1.3,47.37,522.17,2388.02,8138.63,8.4284,0.03,393,2388,100,38.9,23.3928,518.67,642.336,1587.894,1400.652,14.62,21.61,553.964,2388.05,9062.702,1.3,47.342,521.944,2388.024,8144.376,8.41546,0.03,392.6,2388,100,38.986,23.37032,0,0.329438917,1.930331578,1.995073933,0,0,0.664853367,0.043588989,6.062233087,0,0.140427917,0.3906149,0.032093613,4.380956517,0.020253716,0,0.547722558,0,0,0.108074049,0.03385051
31,0.0009,-0.0001,100,518.67,642.52,1590.29,1403.23,14.62,21.61,554.57,2388.01,9063.78,1.3,47.31,521.91,2388.01,8144.82,8.408,0.03,393,2388,100,38.85,23.426,518.67,642.38,1588.168,1401.162,14.62,21.61,553.944,2388.032,9062.632,1.3,47.292,521.972,2388.018,8143.366,8.42092,0.03,392.8,2388,100,38.952,23.3773,0,0.338008876,2.191887315,2.30575801,0,0,0.639319951,0.035637059,6.043613985,0,0.070498227,0.379894722,0.031144823,3.228146527,0.009208529,0,0.447213595,0,0,0.120706255,0.041857735
32,0.0005,0,100,518.67,642.03,1589.62,1407.47,14.62,21.61,553.35,2388.04,9063.74,1.3,47.29,522.17,2388.04,8142.12,8.3844,0.03,391,2388,100,39.14,23.3081,518.67,642.38,1588.03,1402.446,14.62,21.61,553.766,2388.024,9061.992,1.3,47.286,522.08,2388.028,8142.452,8.41488,0.03,392.4,2388,100,38.992,23.36546,0,0.338008876,2.039754887,3.633218958,0,0,0.6598712,0.025099801,5.628540663,0,0.068774995,0.332114438,0.027748874,2.646236951,0.01904303,0,0.894427191,0,0,0.146184815,0.052430888
33,0.0005,-0.0002,100,518.67,642.56,1581.33,1406.88,14.62,21.61,553.72,2388.06,9063.2,1.3,47.28,522.08,2387.99,8144.38,8.4602,0.03,392,2388,100,39.01,23.2799,518.67,642.49,1586.828,1403.744,14.62,21.61,553.904,2388.024,9061.906,1.3,47.286,522.17,2388.026,8142.31,8.42194,0.03,392.2,2388,100,39.012,23.34388,0,0.270185122,3.668524226,3.866856605,0,0,0.526051328,0.025099801,5.600471409,0,0.068774995,0.222598293,0.030495901,2.483324385,0.028083946,0,0.836660027,0,0,0.138816426,0.062227301
34,0.0019,0.0003,100,518.67,641.62,1587.05,1405.23,14.62,21.61,554.27,2388.03,9056.15,1.3,47.25,522.05,2388,8150.91,8.414,0.03,392,2388,100,38.87,23.3871,518.67,642.266,1586.682,1405.236,14.62,21.61,553.89,2388.028,9059.81,1.3,47.3,522.076,2388.012,8144.172,8.419,0.03,392.2,2388,100,38.954,23.35878,0,0.428812313,3.6355426,1.949328089,0,0,0.512298741,0.023874673,5.345802091,0,0.04472136,0.107144762,0.019235384,4.494115041,0.027968554,0,0.836660027,0,0,0.120954537,0.06178274
35,-0.002,-0.0004,100,518.67,642.22,1586.2,1401.04,14.62,21.61,554.52,2387.99,9061.93,1.3,47.37,522.26,2388.07,8149.02,8.4339,0.03,393,2388,100,38.93,23.2939,518.67,642.19,1586.898,1404.77,14.62,21.61,554.086,2388.026,9061.76,1.3,47.3,522.094,2388.022,8146.25,8.4201,0.03,392.2,2388,100,38.96,23.339,0,0.386393582,3.550629522,2.65698137,0,0,0.532005639,0.027018512,3.223949441,0,0.04472136,0.131643458,0.032710854,3.605107488,0.028533139,0,0.836660027,0,0,0.118321596,0.063961395
36,-0.0027,0.0003,100,518.67,642.49,1590.94,1407.83,14.62,21.61,554.28,2388.01,9060.37,1.3,47.24,521.7,2388.04,8145.12,8.4116,0.03,392,2388,100,39,23.2791,518.67,642.184,1587.028,1405.69,14.62,21.61,554.028,2388.026,9061.078,1.3,47.286,522.052,2388.028,8146.31,8.42082,0.03,392,2388,100,38.99,23.30962,0,0.380171014,3.714009962,2.783801358,0,0,0.47923898,0.027018512,3.045549212,0,0.051283526,0.213236957,0.032710854,3.57775069,0.028194893,0,0.707106781,0,0,0.101242284,0.044909153
37,0.001,-0.0004,100,518.67,641.96,1589.53,1391.9,14.62,21.61,554.41,2388.05,9054.24,1.3,47.24,522,2388.03,8148.96,8.3999,0.03,392,2388,100,39.1,23.3709,518.67,642.17,1587.01,1402.576,14.62,21.61,554.24,2388.028,9059.178,1.3,47.276,522.018,2388.026,8147.678,8.42392,0.03,392.2,2388,100,38.982,23.32218,0,0.388458492,3.698492936,6.509779566,0,0,0.3083018,0.028635642,3.831562345,0,0.055045436,0.203027092,0.032093613,2.797788412,0.023680097,0,0.447213595,0,0,0.087005747,0.052515445
38,-0.0015,-0.0002,100,518.67,642.64,1590.99,1403.92,14.62,21.61,554.41,2388.04,9062.29,1.3,47.36,522.18,2388.08,8144.05,8.4231,0.03,394,2388,100,38.97,23.4177,518.67,642.186,1588.942,1401.984,14.62,21.61,554.378,2388.024,9058.996,1.3,47.292,522.038,2388.044,8147.612,8.4165,0.03,392.6,2388,100,38.974,23.34974,0,0.40960957,2.215303591,6.144886492,0,0,0.104259292,0.024083189,3.607835916,0,0.066858059,0.215220817,0.032093613,2.897165856,0.012768516,0,0.894427191,0,0,0.085615419,0.060353525
39,-0.0015,0.0004,100,518.67,642.36,1588.79,1407.39,14.62,21.61,554.43,2388,9067.18,1.3,47.32,522.14,2388.04,8142.88,8.4425,0.03,392,2388,100,38.92,23.3965,518.67,642.334,1589.29,1402.416,14.62,21.61,554.41,2388.018,9061.202,1.3,47.306,522.056,2388.052,8146.006,8.4222,0.03,392.6,2388,100,38.984,23.35162,0,0.260537905,1.96648163,6.496031866,0,0,0.085732141,0.025884358,4.653275191,0,0.063087241,0.220181743,0.021679483,2.836949065,0.017025275,0,0.894427191,0,0,0.072318739,0.061933933
40,0.0049,0.0002,100,518.67,642.34,1581.68,1396.83,14.62,21.61,554.05,2388.06,9059.43,1.3,47.26,521.76,2388.02,8145,8.4201,0.03,394,2388,100,38.94,23.5132,518.67,642.358,1588.386,1401.574,14.62,21.61,554.316,2388.032,9060.702,1.3,47.284,521.956,2388.042,8145.202,8.41944,0.03,392.8,2388,100,38.986,23.39548,0,0.252824049,3.864780718,6.974218953,0,0,0.160249805,0.025884358,4.689666299,0,0.053665631,0.217899059,0.022803508,2.285217714,0.015723168,0,1.095445115,0,0,0.070569115,0.084411563
41,-0.0032,0,100,518.67,642.6,1587.39,1407.93,14.62,21.61,554.18,2388.06,9064.1,1.3,47.37,522.25,2388.02,8143.5,8.436,0.03,390,2388,100,38.88,23.3587,518.67,642.38,1587.676,1401.594,14.62,21.61,554.296,2388.042,9061.448,1.3,47.31,522.066,2388.038,8144.878,8.42432,0.03,392.4,2388,100,38.962,23.4114,0,0.271293199,3.594952016,6.996751389,0,0,0.171697408,0.024899799,4.914913021,0,0.058309519,0.193855616,0.024899799,2.411124219,0.016451201,0,1.673320053,0,0,0.08378544,0.061323894
42,-0.0004,0.0002,100,518.67,643.26,1586.45,1408.61,14.62,21.61,554.07,2388.06,9064.75,1.3,47.28,522.39,2388.05,8138.11,8.4103,0.03,392,2388,100,39.1,23.4542,518.67,642.64,1587.06,1404.936,14.62,21.61,554.228,2388.044,9063.55,1.3,47.318,522.144,2388.042,8142.708,8.4264,0.03,392.4,2388,100,38.962,23.42806,0,0.372290209,3.459161748,4.879137219,0,0,0.182263545,0.02607681,2.893155717,0,0.048166378,0.234797785,0.024899799,2.685734536,0.012856516,0,1.673320053,0,0,0.08378544,0.058835134
43,0.0024,-0.0002,100,518.67,641.84,1589.08,1405.49,14.62,21.61,554.26,2388.05,9062.2,1.3,47.13,521.86,2388.03,8141.11,8.4227,0.03,394,2388,100,39.07,23.3482,518.67,642.48,1586.678,1405.25,14.62,21.61,554.198,2388.046,9063.532,1.3,47.272,522.08,2388.032,8142.12,8.42632,0.03,392.4,2388,100,38.982,23.41416,0,0.516333226,2.990362854,4.847824254,0,0,0.155145093,0.02607681,2.903217181,0,0.089833179,0.264291506,0.013038405,2.639914771,0.0128834,0,1.673320053,0,0,0.097056684,0.069192724
44,-0.0005,-0.0004,100,518.67,642.05,1587.93,1402.84,14.62,21.61,554.55,2388.05,9069.5,1.3,47.11,522.09,2387.99,8148.92,8.401,0.03,390,2388,100,39,23.3801,518.67,642.418,1586.506,1404.34,14.62,21.61,554.222,2388.056,9063.996,1.3,47.23,522.07,2388.022,8143.328,8.41802,0.03,392,2388,100,38.998,23.41088,0,0.551742694,2.860424794,4.772148363,0,0,0.2021633,0.005477226,3.706322976,0,0.108857705,0.262392835,0.021679483,4.069480311,0.013217299,0,2,0,0,0.090664216,0.070613292
45,0.0001,0,100,518.67,642.61,1587.72,1397.75,14.62,21.61,554.03,2388.05,9067.01,1.3,47.13,522.12,2388.03,8141.39,8.4133,0.03,393,2388,100,38.91,23.3466,518.67,642.472,1587.714,1404.524,14.62,21.61,554.218,2388.054,9065.512,1.3,47.204,522.142,2388.024,8142.606,8.41666,0.03,391.8,2388,100,38.992,23.37756,0,0.555400756,0.950699742,4.414530553,0,0,0.20656718,0.005477226,2.814777078,0,0.115238882,0.197408207,0.021908902,4.018598014,0.013299361,0,1.788854382,0,0,0.096280839,0.044878647
46,0.0012,0.0003,100,518.67,642.04,1585.95,1403.61,14.62,21.61,554.54,2388.06,9061.18,1.3,47.57,522.14,2388.03,8144,8.4453,0.03,392,2388,100,38.79,23.3287,518.67,642.36,1587.426,1403.66,14.62,21.61,554.29,2388.054,9064.928,1.3,47.244,522.12,2388.026,8142.706,8.41852,0.03,392.2,2388,100,38.974,23.37156,0,0.57909412,1.245724689,3.982913506,0,0,0.248495473,0.005477226,3.419030564,0,0.19462785,0.188281704,0.021908902,4.052484423,0.016855326,0,1.483239697,0,0,0.126214104,0.049769398
47,0.002,-0.0005,100,518.67,642.37,1587.39,1404.69,14.62,21.61,553.58,2388.03,9056.42,1.3,47.29,522.24,2388.06,8143.99,8.4129,0.03,394,2388,100,38.98,23.4506,518.67,642.182,1587.614,1402.876,14.62,21.61,554.192,2388.048,9063.262,1.3,47.246,522.09,2388.028,8143.882,8.41904,0.03,392.6,2388,100,38.95,23.37084,0,0.305401375,1.126867339,3.038894536,0,0,0.404561491,0.010954451,5.129222163,0,0.195140975,0.140356688,0.024899799,3.134528673,0.016576127,0,1.673320053,0,0,0.106066017,0.048278701
